database_short_name,source,category,assembly_or_resource,fasta_filename,sequence_count,download_or_release_date,search_output_folder,osf_location,notes
UniProt-Human-UP000005640_canonical,UniProt,reference proteome canonical,UP000005640 / GRCh38.p14,UniProt-Human-UP000005640_canonical-2023_05.fasta,20596,2023-05,UniProt-Human-UP000005640_canonical,OSF: fastas/,Canonical reference proteome; one representative sequence per gene
UniProt_Human_UP000005640_All,UniProt,reference proteome all sequences,UP000005640 / GRCh38.p14,UniProt_Human_UP000005640_All_2023_05.fasta,82685,2023-05,UniProt_Human_UP000005640_All,OSF: fastas/,Reference proteome including additional isoforms
UniProt_Human_9606_SP,UniProt,taxonomy reviewed,Taxon 9606 Swiss-Prot,UniProt_Human_9606_SP_2023_05.fasta,20429,2023-05,UniProt_Human_9606_SP,OSF: fastas/,Reviewed Swiss-Prot human entries
UniProt_Human_9606_SP-iso,UniProt,taxonomy reviewed plus isoforms,Taxon 9606 Swiss-Prot plus isoforms,UniProt_Human_9606_SP-iso_2023_05.fasta,42459,2023-05,UniProt_Human_9606_SP-iso,OSF: fastas/,Reviewed Swiss-Prot human entries plus isoforms
UniProt_Human_9606_SP-Tr,UniProt,taxonomy reviewed plus unreviewed,Taxon 9606 Swiss-Prot plus TrEMBL,UniProt_Human_9606_SP-Tr-2023_05.fasta,204318,2023-05,UniProt_Human_9606_SP-Tr,OSF: fastas/,Swiss-Prot plus TrEMBL; no isoforms
nextProt,neXtProt,knowledgebase,neXtProt human PEFF,nextprot_Human-all-peff-2023-09-11.fasta,42382,2023-09-11,nextProt,OSF: fastas/,PEFF annotations not used beyond sequence
NCBI-RefSeq-Human-GRCh38.p14,NCBI RefSeq,genome assembly derived,GRCh38.p14 / GCF_000001405.40,NCBI-RefSeq-Human-GRCh38.p14-GCF_000001405.40-2022-02-03.fasta,136194,2022-02-03,NCBI-RefSeq-Human-GRCh38.p14,OSF: fastas/,RefSeq GRCh38.p14 protein sequence database
NCBI-Human-Hopkins2022,NCBI,alternative assembly derived,Ash1v2.2 / GCA_011064465.2,NCBI-Human-Hopkins2022-06-Ash1_v2.2.fasta,87231,2022-06,NCBI-Human-Hopkins2022,OSF: fastas/,Ashkenazi alternative reference assembly
NCBI-Human-Celera2005,NCBI,legacy assembly derived,ASM2283312v2 / Celera 2005,NCBI-Human-ASM2283312v2-Celera2005.fasta,64479,2005 / archived later,NCBI-Human-Celera2005,OSF: fastas/,Legacy Celera assembly-derived protein database
NCBI_RefSeq-Human-T2T,NCBI RefSeq,genome assembly derived,T2T-CHM13v2.0 / GCF_009914755.1,NCBI_RefSeq-Human-T2T-CHM13v2.0-T2T-GCF_009914755.1-2022-01-24.fasta,129662,2022-01-24,NCBI_RefSeq-Human-T2T,OSF: fastas/,RefSeq T2T-CHM13v2.0 protein sequence database
