database,label,category,peptide_count
Ensembl-Human-GRCh37,Ensembl-GRCh37,immunoglobulin,0
Ensembl-Human-GRCh37,Ensembl-GRCh37,t_cell_receptor,0
Ensembl-Human-GRCh37,Ensembl-GRCh37,hla_mhc,0
Ensembl-Human-GRCh37,Ensembl-GRCh37,keratin,0
Ensembl-Human-GRCh37,Ensembl-GRCh37,olfactory_receptor,0
Ensembl-Human-GRCh37,Ensembl-GRCh37,zinc_finger,0
Ensembl-Human-GRCh37,Ensembl-GRCh37,predicted_uncharacterized,0
Ensembl-Human-GRCh37,Ensembl-GRCh37,not_found,0
Ensembl-Human-GRCh37,Ensembl-GRCh37,other,31
Ensembl-Human-GRCh38,Ensembl-GRCh38,immunoglobulin,0
Ensembl-Human-GRCh38,Ensembl-GRCh38,t_cell_receptor,0
Ensembl-Human-GRCh38,Ensembl-GRCh38,hla_mhc,0
Ensembl-Human-GRCh38,Ensembl-GRCh38,keratin,0
Ensembl-Human-GRCh38,Ensembl-GRCh38,olfactory_receptor,0
Ensembl-Human-GRCh38,Ensembl-GRCh38,zinc_finger,0
Ensembl-Human-GRCh38,Ensembl-GRCh38,predicted_uncharacterized,0
Ensembl-Human-GRCh38,Ensembl-GRCh38,not_found,0
Ensembl-Human-GRCh38,Ensembl-GRCh38,other,12
Ensembl-Human-T2T,Ensembl-T2T,immunoglobulin,0
Ensembl-Human-T2T,Ensembl-T2T,t_cell_receptor,0
Ensembl-Human-T2T,Ensembl-T2T,hla_mhc,0
Ensembl-Human-T2T,Ensembl-T2T,keratin,0
Ensembl-Human-T2T,Ensembl-T2T,olfactory_receptor,0
Ensembl-Human-T2T,Ensembl-T2T,zinc_finger,0
Ensembl-Human-T2T,Ensembl-T2T,predicted_uncharacterized,0
Ensembl-Human-T2T,Ensembl-T2T,not_found,0
Ensembl-Human-T2T,Ensembl-T2T,other,7
NCBI-Human-Celera2005,NCBI-Celera2005,immunoglobulin,0
NCBI-Human-Celera2005,NCBI-Celera2005,t_cell_receptor,0
NCBI-Human-Celera2005,NCBI-Celera2005,hla_mhc,0
NCBI-Human-Celera2005,NCBI-Celera2005,keratin,0
NCBI-Human-Celera2005,NCBI-Celera2005,olfactory_receptor,0
NCBI-Human-Celera2005,NCBI-Celera2005,zinc_finger,0
NCBI-Human-Celera2005,NCBI-Celera2005,predicted_uncharacterized,4
NCBI-Human-Celera2005,NCBI-Celera2005,not_found,0
NCBI-Human-Celera2005,NCBI-Celera2005,other,222
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,immunoglobulin,0
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,t_cell_receptor,0
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,hla_mhc,1
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,keratin,0
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,olfactory_receptor,0
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,zinc_finger,1
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,predicted_uncharacterized,0
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,not_found,0
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,other,28
NCBI-RefSeq-Human-GRCh38.p14,NCBI-RefSeq-GRCh38.p14,immunoglobulin,0
NCBI-RefSeq-Human-GRCh38.p14,NCBI-RefSeq-GRCh38.p14,t_cell_receptor,0
NCBI-RefSeq-Human-GRCh38.p14,NCBI-RefSeq-GRCh38.p14,hla_mhc,0
NCBI-RefSeq-Human-GRCh38.p14,NCBI-RefSeq-GRCh38.p14,keratin,0
NCBI-RefSeq-Human-GRCh38.p14,NCBI-RefSeq-GRCh38.p14,olfactory_receptor,0
