database,label,total_peptides,unique_to_this_folder,shared_across_all
Ensembl-Human-GRCh37,Ensembl-GRCh37,17555,31,12919
Ensembl-Human-GRCh38,Ensembl-GRCh38,17349,12,12919
Ensembl-Human-T2T,Ensembl-T2T,17408,7,12919
NCBI-Human-Celera2005,NCBI-Celera2005,16512,226,12919
NCBI-Human-Hopkins2022,NCBI-Hopkins2022,17364,30,12919
NCBI-RefSeq-Human-GRCh38.p14,NCBI-RefSeq-GRCh38.p14,17086,24,12919
NCBI_RefSeq-Human-T2T,NCBI-RefSeq-T2T,17122,27,12919
Pangenome-HPRC-Human-Barbados,HPRC-Barbados,17268,10,12919
Pangenome-HPRC-Human-Caucasian,HPRC-Caucasian,16495,25,12919
Pangenome-HPRC-Human-Columbia,HPRC-Columbia,17328,16,12919
Pangenome-HPRC-Human-HanChineseSouth,HPRC-HanChineseSouth,17531,38,12919
Pangenome-HPRC-Human-Nigeria,HPRC-Nigeria,17296,15,12919
Pangenome-HPRC-Human-Pakistan,HPRC-Pakistan,16483,27,12919
Pangenome-HPRC-Human-Vietnam,HPRC-Vietnam,17381,9,12919
Pangenome-HPRC-Human-swUSA,HPRC-swUSA,17485,25,12919
UniProt-Human-UP000005640_canonical,UniProt-UP000005640_canonical,17200,23,12919
UniProt_Human_9606_SP,UniProt-9606_SP,17018,15,12919
UniProt_Human_9606_SP-Tr,UniProt-9606_SP-Tr,17362,291,12919
UniProt_Human_9606_SP-iso,UniProt-9606_SP-iso,17411,3,12919
UniProt_Human_UP000005640_All,UniProt-UP000005640_All,17321,11,12919
nextProt,nextProt,17424,4,12919
